student_code,exam_code,disability
8.11E+14,MATHS1017_1 - Mathematics 1,FALSE
8.11E+14,ECON1001_1 - Economics 1A,FALSE
8.11E+14,STATS1002_1 - Statistics 1Y,FALSE
6.65E+14,LAW5015_1 - Corporate Governance,FALSE
6.65E+14,LAW5197_1 - Corporate Finance,FALSE
6.65E+14,LAW5042_1 - International Financial Reg,FALSE
5.13E+14,MATHS1017_1 - Mathematics 1,FALSE
5.13E+14,COMPSCI1016_1 - Computing Science _ 1CT,FALSE
1.04E+14,COMPSCI1016_1 - Computing Science _ 1CT,FALSE
1.04E+14,ASTRO1003_1 - Exploring the Cosmos 1X,FALSE
5.91E+13,ECON5012_1 - Financial Services,FALSE
5.91E+13,MGT5182_1 - Intl Strategic Mgmt,FALSE
1.08E+14,ENG4179_1 - Thermal Engineering 4,FALSE
1.08E+14,ENG5096_1 - Advanced Manufacture,FALSE
1.08E+14,ENG5053_1 - Mech of Solids & Structures,FALSE
6.12E+14,MGT5263_1 - Entrepreneurial Fin for SMEs,FALSE
6.12E+14,MGT5182_1 - Intl Strategic Mgmt,FALSE
1.22E+14,COMPSCI5100_1 - Machine Learning & AI for DS,FALSE
1.22E+14,ENG5062_1 - Navigation Systems M,FALSE
1.22E+14,ENG5022_1 - Control M,FALSE
1.22E+14,ENG5292_1 - Power Electronics and Drives M,FALSE
1.14E+14,MED4042_1 - Immunology (intercal),FALSE
1.14E+14,MED4039_1 - Core Course (intercal),FALSE
1.14E+14,DENT3021_1 - Dental Stats (intercal),FALSE
9.14E+14,CHEM1001_1 - Chemistry 1,FALSE
9.14E+14,BIOL1001_1 - Biology 1A,FALSE
6.23E+14,MGT5182_1 - Intl Strategic Mgmt,FALSE
1.31E+14,ENG4179_1 - Thermal Engineering 4,FALSE
1.31E+14,ENG5302_1 - Ultrasound Technology and Apps,FALSE
1.31E+14,ENG5096_1 - Advanced Manufacture,FALSE
1.31E+14,ENG5049_1 - Lasers,FALSE
1.81E+14,LAW5015_1 - Corporate Governance,FALSE
1.81E+14,LAW5014_1 - Internat Capital Markets Law,FALSE
5.11E+14,CHEM1001_1 - Chemistry 1,FALSE
5.11E+14,BIOL1001_1 - Biology 1A,FALSE
1.11E+14,ECON5002_1 - Basic Econometrics,FALSE
1.11E+14,"ECON5009_1 - Fin Markets, Sec/Derivatives",FALSE
1.01E+13,BUS5002_1 - Financial Information&Analysis,FALSE
3.81E+14,COMPSCI5076_1 - Database Theory and App (M),FALSE
3.81E+14,COMPSCI4043_1 - Systems And Networks,FALSE
3.81E+14,COMPSCI4039_1 - Programming,FALSE
3.81E+14,COMPSCI5077_1 - Enterprise Cyber Security (M),FALSE
1.09E+14,COMPSCI5100_1 - Machine Learning & AI for DS,FALSE
1.09E+14,ENG5022_1 - Control M,FALSE
1.09E+14,ENG5292_1 - Power Electronics and Drives M,FALSE
1.49E+13,ENG5319_1 - Ultrasonic Eng Tech and App,FALSE
7.91E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
3.15E+14,ACCFIN1004_1 - Financial Accounting 1,FALSE
3.15E+14,MGT1005_1 - Introduction to Management,FALSE
3.15E+14,ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis,FALSE
3.86E+14,POLITIC2001_1 - Politics 2A: Hist of Pol Thght,FALSE
3.86E+14,SOCIO2020_1 - Sociology 2A,FALSE
8.11E+14,MATHS2001_1 - Maths 2A,FALSE
8.11E+14,MATHS2004_1 - Maths 2B,FALSE
1.04E+14,GREEK1001_1 - Greek 1A,FALSE
2.14E+14,MED5029_1 - Introduction to Statistical,FALSE
1.91E+14,ENG3059_1 - Aircraft Performance 3,FALSE
1.91E+14,ENG3042_1 - Propulsion and Turbomach 3,FALSE
1.91E+14,ENG3081_1 - Aircraft Structures and Mat 3,FALSE
1.91E+14,ENG3039_1 - Dynamics 3,FALSE
1.91E+14,ENG3036_1 - Simulation of Eng Systems 3,FALSE
1.02E+14,BIOL2040_1 - Cntemprary Issues in Biol 2Y,FALSE
1.02E+14,BIOL2039_1 - Fundamental Topics in Biol 2X,FALSE
4.15E+14,MED1005_1 - MBChB 1 Written Paper 1,FALSE
1.35E+14,MATHS1017_1 - Mathematics 1,FALSE
1.35E+14,CHEM1001_1 - Chemistry 1,FALSE
4.42E+14,ECON1012_1 - Introductory Maths for Econ,FALSE
4.42E+14,ECON2001_1 - Economics 2A,FALSE
4.42E+14,CEES2010_1 - CEES 2A,FALSE
1.25E+14,PSYCH5033_1 - Social Psychology (PGT Conv),FALSE
1.25E+14,EDUC5842_1 - DevPsych(PGT Conv),FALSE
4.54E+14,ENG4195_1 - Control Sys Analysis & Des 4,FALSE
4.54E+14,ENG4191_1 - Signal Proc of Biosignatures 4,FALSE
4.14E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
2.32E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
7.11E+14,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
7.11E+14,ENG1002_1 - Aerospace Engineering 1,FALSE
7.11E+14,ENG1065_1 - Statics 1,FALSE
7.11E+14,ENG1033_1 - Materials 1,FALSE
7.11E+14,ENG1003_1 - Analogue Electronics 1,FALSE
2.13E+14,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
2.13E+14,ENG1061_1 - Civil Engineering 1,FALSE
2.13E+14,ENG1065_1 - Statics 1,FALSE
2.13E+14,ENG1033_1 - Materials 1,FALSE
5.89E+14,PHIL1010_1 - Philosophy 1A,FALSE
5.89E+14,PSYCH1001_1 - Psychology 1A,FALSE
5.89E+14,INFOST1001_1 - Digital Media & Info Studs 1A,FALSE
2.83E+14,PSYCH5033_1 - Social Psychology (PGT Conv),FALSE
2.83E+14,PSYCH5067_1 - Human Development PGT Conv,FALSE
1.19E+14,COMPSCI4014_1 - Interactive Systems (H),FALSE
1.19E+14,COMPSCI4009_1 - Algorithmics I (H),FALSE
5.74E+14,BIOL2040_1 - Cntemprary Issues in Biol 2Y,FALSE
5.74E+14,BIOL2039_1 - Fundamental Topics in Biol 2X,FALSE
3.14E+14,CHEM1002_1 - Science Fundamentals 1X,FALSE
3.14E+14,BIOL1001_1 - Biology 1A,FALSE
4.93E+14,MED1005_1 - MBChB 1 Written Paper 1,FALSE
5.94E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
5.94E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
5.94E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
3.38E+14,ENG5062_1 - Navigation Systems M,FALSE
3.38E+14,ENG5314_1 - Control Sys Analysis & Des M,FALSE
3.38E+14,ENG5082_1 - Space Flight Dynamics M,FALSE
3.38E+14,ENG5013_1 - Flight Dynamics M,FALSE
3.38E+14,ENG5091_1 - Physics of Fluids M,FALSE
3.38E+14,ENG5076_1 - Simulation of Aero Systems,FALSE
9.12E+14,ENG3046_1 - Structural Design 3,FALSE
9.12E+14,ENG3086_1 - Transport Engineering 3,FALSE
9.12E+14,ENG3037_1 - Mechanics of Solids 3,FALSE
9.12E+14,ENG3085_1 - Hydraulic Engineering 3,FALSE
2.14E+14,MATHS1017_1 - Mathematics 1,FALSE
2.14E+14,ASTRO1001_1 - Astronomy 1,FALSE
4.14E+14,COMPSCI4014_1 - Interactive Systems (H),FALSE
4.14E+14,COMPSCI4009_1 - Algorithmics I (H),FALSE
1.51E+14,LAW1028_1 - (CL) System and Method,FALSE
1.51E+14,LAW1026_1 - Criminal Law Englnd&Wales (CL),FALSE
1.51E+14,LAW1027_1 - (CL) Law of Contract,FALSE
7.13E+14,ACCFIN1004_1 - Financial Accounting 1,FALSE
7.13E+14,MGT1005_1 - Introduction to Management,FALSE
7.13E+14,ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis,FALSE
1.51E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
1.51E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
1.51E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
1.51E+14,ENG2045_1 - Power Electronics 2,FALSE
1.14E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
1.14E+14,ENG2023_1 - Electrical Circuits 2,FALSE
1.14E+14,ENG2020_1 - Digital Electronics 2,FALSE
1.14E+14,ENG2045_1 - Power Electronics 2,FALSE
1.23E+14,MED5029_1 - Introduction to Statistical,FALSE
1.32E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
1.32E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
4.21E+14,ECON5082_1 - Quantitative Methods _ Maths,FALSE
4.21E+14,ECON5082_2 - Quantitative Methods _ Stats,FALSE
2.41E+14,CHEM1001_1 - Chemistry 1,FALSE
2.41E+14,BIOL1001_1 - Biology 1A,FALSE
1.29E+14,ECON4049_1 - Behavioural Econ: Theory & App,FALSE
1.29E+14,ECON4072_1 - Economics of Poverty,FALSE
1.29E+14,ECON4011_1 - Environmental Economics,FALSE
5.12E+14,PHIL1010_1 - Philosophy 1A,FALSE
5.12E+14,SOCIO1009_1 - Sociology 1A: Self & Society,FALSE
5.12E+14,PSYCH1001_1 - Psychology 1A,FALSE
9.46E+13,CHEM2016_1 - Chemistry 2X single Class Test,FALSE
9.46E+13,BIOL2039_1 - Fundamental Topics in Biol 2X,FALSE
1.38E+14,MATHS1017_1 - Mathematics 1,FALSE
1.38E+14,COMPSCI1001_1 - Computing Science 1P Class Tst,FALSE
1.38E+14,COMPSCI1006_1 - CS1F _ Computing Fundamentals,FALSE
1.38E+14,ASTRO1003_1 - Exploring the Cosmos 1X,FALSE
1.12E+14,COMPSCI5100_1 - Machine Learning & AI for DS,FALSE
1.12E+14,ENG5022_1 - Control M,FALSE
1.12E+14,ENG5292_1 - Power Electronics and Drives M,FALSE
3.14E+14,COMPSCI4014_1 - Interactive Systems (H),FALSE
3.14E+14,COMPSCI4009_1 - Algorithmics I (H),FALSE
4.01E+14,BIOL4234_1 - Neuroscience 3A,FALSE
7.81E+14,COMPSCI2003_1 - Algorithmic Foundations 2,FALSE
7.81E+14,COMPSCI2001_1 - Java Programming 2,FALSE
7.81E+14,COMPSCI2024_1 - Networks & Op Systems Ess 2,FALSE
7.81E+14,COMPSCI1006_1 - CS1F _ Computing Fundamentals,FALSE
9.13E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
9.13E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
9.13E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
9.13E+14,ENG2045_1 - Power Electronics 2,FALSE
3.47E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
3.47E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
3.47E+14,ENG2048_1 - Structural Design 2,FALSE
3.47E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
1.14E+14,ENG3046_1 - Structural Design 3,FALSE
1.14E+14,ENG3037_1 - Mechanics of Solids 3,FALSE
1.14E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
2.10E+14,ENG5027_1 - Digital Signal Processing,FALSE
2.10E+14,ENG5092_1 - VLSI Design M,FALSE
1.54E+14,THEATRE2001_1 - Thtre St 2:Clsscal To Mdrn,FALSE
1.30E+14,LAW2007_1 - Jurisprudence,FALSE
1.30E+14,LAW2011_1 - Property Law,FALSE
1.30E+14,LAW2010_1 - Law and Government,FALSE
5.11E+14,LAW1021_1 - Obligations 1A,FALSE
5.11E+14,LAW1003_1 - Criminal Law and Evidence 1,FALSE
5.11E+14,LAW1020_1 - Introduction to Legal Study,FALSE
8.01E+14,PHIL1010_1 - Philosophy 1A,FALSE
8.01E+14,PSYCH1001_1 - Psychology 1A,FALSE
8.01E+14,HISTART1002_1 - History of Art 1A,FALSE
1.75E+14,ECON5012_1 - Financial Services,FALSE
1.75E+14,MGT5182_1 - Intl Strategic Mgmt,FALSE
6.47E+13,ENG3026_1 - Electronic System Design 3,FALSE
6.47E+13,ENG3043_1 - Real Time Computer Systems 3,FALSE
6.47E+13,ENG3014_1 - Communication Systems 3,FALSE
6.47E+13,ENG3025_1 - Electronic Devices 3,FALSE
6.47E+13,ENG3036_1 - Simulation of Eng Systems 3,FALSE
1.55E+14,ACCFIN5205_1 - Corporate Fin,FALSE
1.55E+14,ECON5024_1 - Monetary Pol/Role Cent Banks,FALSE
1.55E+14,ECON5008_1 - Fin Institutions/Market Dev CS,FALSE
1.23E+14,ECON4012_1 - Fin. Mkts. & Asset Pricing,FALSE
1.23E+14,ECON4049_1 - Behavioural Econ: Theory & App,FALSE
1.23E+14,"ECON4020_1 - Micro Anal: Cons,Pro&Gen Equi",FALSE
1.23E+14,ECON4003_1 - Econometrics 1,FALSE
6.01E+13,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
6.01E+13,ENG1002_1 - Aerospace Engineering 1,FALSE
6.01E+13,ENG1065_1 - Statics 1,FALSE
6.01E+13,ENG1033_1 - Materials 1,FALSE
6.01E+13,ENG1003_1 - Analogue Electronics 1,FALSE
2.11E+14,POLITIC2001_1 - Politics 2A: Hist of Pol Thght,FALSE
2.11E+14,HIST2016_1 - History 2A: Soc Cult Hist,FALSE
5.14E+14,ECON4012_1 - Fin. Mkts. & Asset Pricing,FALSE
5.14E+14,ECON4072_1 - Economics of Poverty,FALSE
5.14E+14,ECON4048_1 - History of Economic Thought,FALSE
9.16E+14,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
9.16E+14,ENG1031_1 - Intro to Biomed Engineering 1,FALSE
9.16E+14,ENG1065_1 - Statics 1,FALSE
9.16E+14,ENG1033_1 - Materials 1,FALSE
9.16E+14,ENG1003_1 - Analogue Electronics 1,FALSE
5.51E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
5.51E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
5.51E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
8.63E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
8.63E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
8.63E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
8.63E+14,ENG2045_1 - Power Electronics 2,FALSE
4.41E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
1.01E+14,COMPSCI4014_1 - Interactive Systems (H),FALSE
1.01E+14,COMPSCI4009_1 - Algorithmics I (H),FALSE
1.02E+14,LAW5037_1 - International Competition Law,FALSE
1.02E+14,LAW5034_1 - IP Law and the Market,FALSE
1.26E+14,HIST1008_1 - Hist 1A Scotland's Millennium,FALSE
4.01E+13,MED5029_1 - Introduction to Statistical,FALSE
6.71E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
1.81E+14,BIOL4051_2 - Genetics 3A_Data Handling,FALSE
1.81E+14,BIOL4051_1 - Genetics 3A_Essay,FALSE
1.40E+14,LAW1038_1 - Obligations 1A (FR),FALSE
1.40E+14,LAW1036_1 - Criminal Law & Evidence 1 (FR),FALSE
1.40E+14,LAW1033_1 - Legal Skills for Graduates,FALSE
1.81E+13,ENG2086_1 - Engineering Mathematics 2,FALSE
1.81E+13,ENG2081_1 - Mechanics of Structures 2A,FALSE
1.81E+13,ENG2085_1 - Fluid Mechanics 2,FALSE
1.81E+13,ENG2045_1 - Power Electronics 2,FALSE
1.46E+14,LAW1040_1 - (CL) System & Method for Grads,FALSE
1.16E+14,COMPSCI4038_1 - Prof Skills & Issues (H),FALSE
9.51E+14,ENG3037_1 - Mechanics of Solids 3,FALSE
9.51E+14,ENG4025_1 - Finite Element Analysis 4,FALSE
9.51E+14,ENG3053_1 - Thermodynamics of Engines 3,FALSE
9.51E+14,ENG3039_1 - Dynamics 3,FALSE
9.51E+14,ENG3036_1 - Simulation of Eng Systems 3,FALSE
7.83E+14,ENG3059_1 - Aircraft Performance 3,FALSE
7.83E+14,ENG3042_1 - Propulsion and Turbomach 3,FALSE
7.83E+14,ENG3081_1 - Aircraft Structures and Mat 3,FALSE
7.83E+14,ENG3039_1 - Dynamics 3,FALSE
7.83E+14,ENG3036_1 - Simulation of Eng Systems 3,FALSE
1.41E+14,STATS1002_1 - Statistics 1Y,FALSE
1.41E+14,COMPSCI1001_1 - Computing Science 1P Class Tst,FALSE
1.41E+14,ENG1021_1 - Electronic Engineering 1X,FALSE
1.41E+14,COMPSCI1006_1 - CS1F _ Computing Fundamentals,FALSE
1.41E+14,ENG3046_1 - Structural Design 3,FALSE
1.41E+14,ENG3086_1 - Transport Engineering 3,FALSE
1.41E+14,ENG3037_1 - Mechanics of Solids 3,FALSE
1.41E+14,ENG3085_1 - Hydraulic Engineering 3,FALSE
1.16E+14,ENG3026_1 - Electronic System Design 3,FALSE
1.16E+14,ENG3043_1 - Real Time Computer Systems 3,FALSE
1.16E+14,ENG3014_1 - Communication Systems 3,FALSE
1.16E+14,ENG3025_1 - Electronic Devices 3,FALSE
1.16E+14,ENG3036_1 - Simulation of Eng Systems 3,FALSE
1.14E+14,BIOL2040_1 - Cntemprary Issues in Biol 2Y,FALSE
1.14E+14,BIOL2039_1 - Fundamental Topics in Biol 2X,FALSE
1.32E+14,PSYCH4036_1 - Social Psychology 3H,FALSE
9.12E+14,MED5029_1 - Introduction to Statistical,FALSE
5.07E+14,PHIL1010_1 - Philosophy 1A,FALSE
5.07E+14,HIST1008_1 - Hist 1A Scotland's Millennium,FALSE
5.23E+14,PSYCH5033_1 - Social Psychology (PGT Conv),FALSE
5.23E+14,PSYCH5067_1 - Human Development PGT Conv,FALSE
9.52E+13,ACCFIN1004_1 - Financial Accounting 1,FALSE
9.52E+13,MGT1005_1 - Introduction to Management,FALSE
9.52E+13,ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis,FALSE
1.11E+14,COMPSCI5100_1 - Machine Learning & AI for DS,FALSE
1.11E+14,ENG5027_1 - Digital Signal Processing,FALSE
1.11E+14,ENG5022_1 - Control M,FALSE
2.11E+14,ARCH1001_1 - Arch 1A: Arch of Scotland,FALSE
2.11E+14,PSYCH1001_1 - Psychology 1A,FALSE
2.11E+14,GEOG1001_1 - Geography 1,FALSE
3.11E+14,ECON4012_1 - Fin. Mkts. & Asset Pricing,FALSE
3.11E+14,"ECON4020_1 - Micro Anal: Cons,Pro&Gen Equi",FALSE
3.11E+14,ECON4003_1 - Econometrics 1,FALSE
2.40E+14,LAW2007_1 - Jurisprudence,FALSE
2.40E+14,LAW2038_1 - Land Law,FALSE
2.40E+14,LAW2010_1 - Law and Government,FALSE
5.12E+14,HISTART1002_1 - History of Art 1A,FALSE
1.18E+14,COMPLIT1001_1 - Comparative Literature 1A,FALSE
1.18E+14,PSYCH2010_1 - Psychology 2A Paper 1,FALSE
1.18E+14,THEATRE2001_1 - Thtre St 2:Clsscal To Mdrn,FALSE
1.18E+14,PSYCH2010_2 - Psychology 2A Paper 2,FALSE
1.51E+14,THEATRE1001_1 - Theatre Studies 1:  Reading,FALSE
1.97E+14,CEES1015_1 - CEES 1A,FALSE
1.97E+14,POLITIC2001_1 - Politics 2A: Hist of Pol Thght,FALSE
1.97E+14,PUBPOL2010_1 - Social & Public Policy 2A,FALSE
2.14E+14,PHYS4017_1 - Physics 3: Class Test,FALSE
2.14E+14,PHYS5012_1 - Problem Solving Workshop,FALSE
6.14E+14,PSYCH1001_1 - Psychology 1A,FALSE
6.14E+14,CHEM1001_1 - Chemistry 1,FALSE
6.14E+14,BIOL1001_1 - Biology 1A,FALSE
2.48E+14,PUBPOL1010_1 - Social and Public Policy 1A,FALSE
1.72E+14,PSYCH5033_1 - Social Psychology (PGT Conv),FALSE
1.72E+14,EDUC5842_1 - DevPsych(PGT Conv),FALSE
1.01E+14,POLITIC4020_1 - Politics of the EU,FALSE
1.07E+12,LAW2007_1 - Jurisprudence,FALSE
1.07E+12,LAW2038_1 - Land Law,FALSE
1.07E+12,LAW2010_1 - Law and Government,FALSE
5.10E+14,POLITIC4002_1 - British Prime Ministers,FALSE
5.10E+14,"POLITIC4140_1 - War, Peace & World Orders",FALSE
1.71E+14,SOCIO1009_1 - Sociology 1A: Self & Society,FALSE
5.13E+13,POLITIC4002_1 - British Prime Ministers,FALSE
7.52E+14,BIOL2039_1 - Fundamental Topics in Biol 2X,FALSE
3.16E+14,BIOL5283_1 - Fundamentals of Neuroscience,FALSE
1.08E+14,GEOG4013_1 - Geographic Thought,FALSE
1.21E+14,HISTART2004_1 - History of Art 2A,FALSE
8.62E+14,MED2006_1 - MBChB 2 Written Paper 1,FALSE
9.91E+14,LAW5037_1 - International Competition Law,FALSE
9.91E+14,LAW5034_1 - IP Law and the Market,FALSE
1.28E+14,LAW1028_1 - (CL) System and Method,FALSE
1.28E+14,LAW1026_1 - Criminal Law Englnd&Wales (CL),FALSE
1.28E+14,LAW1027_1 - (CL) Law of Contract,FALSE
1.56E+14,CHEM1002_1 - Science Fundamentals 1X,FALSE
1.56E+14,BIOL1001_1 - Biology 1A,FALSE
7.34E+14,MATHS1017_1 - Mathematics 1,FALSE
7.34E+14,STATS1002_1 - Statistics 1Y,FALSE
7.34E+14,PHIL1010_1 - Philosophy 1A,FALSE
8.14E+14,ECON1001_1 - Economics 1A,FALSE
8.14E+14,HIST1008_1 - Hist 1A Scotland's Millennium,FALSE
2.22E+14,ECON1012_1 - Introductory Maths for Econ,FALSE
2.22E+14,ECON2001_1 - Economics 2A,FALSE
2.22E+14,MGT2012_1 - Operations Management,FALSE
1.51E+14,LAW1021_1 - Obligations 1A,FALSE
1.51E+14,LAW1003_1 - Criminal Law and Evidence 1,FALSE
1.51E+14,LAW1020_1 - Introduction to Legal Study,FALSE
1.29E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
1.29E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
1.29E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
1.29E+14,ENG2045_1 - Power Electronics 2,FALSE
3.50E+14,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
3.50E+14,ENG1031_1 - Intro to Biomed Engineering 1,FALSE
3.50E+14,ENG1065_1 - Statics 1,FALSE
3.50E+14,ENG1033_1 - Materials 1,FALSE
3.50E+14,ENG1003_1 - Analogue Electronics 1,FALSE
8.11E+14,ENG2086_1 - Engineering Mathematics 2,FALSE
8.11E+14,ENG2081_1 - Mechanics of Structures 2A,FALSE
8.11E+14,ENG2048_1 - Structural Design 2,FALSE
8.11E+14,ENG2085_1 - Fluid Mechanics 2,FALSE
5.02E+14,BIOL4056_1 - Immunology 3A Problem Paper,FALSE
6.14E+14,LAW1038_1 - Obligations 1A (FR),FALSE
6.14E+14,LAW1036_1 - Criminal Law & Evidence 1 (FR),FALSE
6.14E+14,LAW1033_1 - Legal Skills for Graduates,FALSE
5.12E+14,ENG1063_1 - Engineering Mathematics 1 Pr1,FALSE
5.12E+14,ENG1061_1 - Civil Engineering 1,FALSE
5.12E+14,ENG1065_1 - Statics 1,FALSE
5.12E+14,ENG1033_1 - Materials 1,FALSE
5.12E+14,ENG1003_1 - Analogue Electronics 1,FALSE
1.41E+14,CHEM5070_1 - Catalyst structure & function,FALSE
1.41E+14,CHEM5074_1 - Catalyst preparation,FALSE
1.41E+14,CHEM5068_1 - Catalyst deactivation resit,FALSE
1.41E+14,CHEM5069_1 - Catalyst testing resit,FALSE
1.36E+14,CHEM1002_1 - Science Fundamentals 1X,FALSE
1.36E+14,BIOL1001_1 - Biology 1A,FALSE
