code,duration
MATHS1017_1 - Mathematics 1,90
ECON1001_1 - Economics 1A,120
STATS1002_1 - Statistics 1Y,120
LAW5015_1 - Corporate Governance,120
LAW5197_1 - Corporate Finance,120
LAW5042_1 - International Financial Reg,120
COMPSCI1016_1 - Computing Science _ 1CT,120
ASTRO1003_1 - Exploring the Cosmos 1X,120
ECON5012_1 - Financial Services,120
MGT5182_1 - Intl Strategic Mgmt,120
ENG4179_1 - Thermal Engineering 4,120
ENG5096_1 - Advanced Manufacture,120
ENG5053_1 - Mech of Solids & Structures,120
MGT5263_1 - Entrepreneurial Fin for SMEs,90
COMPSCI5100_1 - Machine Learning & AI for DS,90
ENG5062_1 - Navigation Systems M,120
ENG5022_1 - Control M,120
ENG5292_1 - Power Electronics and Drives M,120
MED4042_1 - Immunology (intercal),60
MED4039_1 - Core Course (intercal),120
DENT3021_1 - Dental Stats (intercal),120
CHEM1001_1 - Chemistry 1,120
BIOL1001_1 - Biology 1A,90
ENG5302_1 - Ultrasound Technology and Apps,90
ENG5049_1 - Lasers,120
LAW5014_1 - Internat Capital Markets Law,120
ECON5002_1 - Basic Econometrics,120
"ECON5009_1 - Fin Markets, Sec/Derivatives",90
BUS5002_1 - Financial Information&Analysis,60
COMPSCI5076_1 - Database Theory and App (M),90
COMPSCI4043_1 - Systems And Networks,120
COMPSCI4039_1 - Programming,120
COMPSCI5077_1 - Enterprise Cyber Security (M),120
ENG5319_1 - Ultrasonic Eng Tech and App,90
MED2006_1 - MBChB 2 Written Paper 1,60
ACCFIN1004_1 - Financial Accounting 1,90
MGT1005_1 - Introduction to Management,60
ACCFIN1007_1 - Mgmt Acc:Bus Decision Emphasis,90
POLITIC2001_1 - Politics 2A: Hist of Pol Thght,120
SOCIO2020_1 - Sociology 2A,90
MATHS2001_1 - Maths 2A,90
MATHS2004_1 - Maths 2B,90
GREEK1001_1 - Greek 1A,120
MED5029_1 - Introduction to Statistical,120
ENG3059_1 - Aircraft Performance 3,120
ENG3042_1 - Propulsion and Turbomach 3,120
ENG3081_1 - Aircraft Structures and Mat 3,120
ENG3039_1 - Dynamics 3,120
ENG3036_1 - Simulation of Eng Systems 3,90
BIOL2040_1 - Cntemprary Issues in Biol 2Y,120
BIOL2039_1 - Fundamental Topics in Biol 2X,120
MED1005_1 - MBChB 1 Written Paper 1,60
ECON1012_1 - Introductory Maths for Econ,120
ECON2001_1 - Economics 2A,90
CEES2010_1 - CEES 2A,90
PSYCH5033_1 - Social Psychology (PGT Conv),90
EDUC5842_1 - DevPsych(PGT Conv),60
ENG4195_1 - Control Sys Analysis & Des 4,90
ENG4191_1 - Signal Proc of Biosignatures 4,90
ENG1063_1 - Engineering Mathematics 1 Pr1,120
ENG1002_1 - Aerospace Engineering 1,120
ENG1065_1 - Statics 1,120
ENG1033_1 - Materials 1,120
ENG1003_1 - Analogue Electronics 1,120
ENG1061_1 - Civil Engineering 1,60
PHIL1010_1 - Philosophy 1A,90
PSYCH1001_1 - Psychology 1A,120
INFOST1001_1 - Digital Media & Info Studs 1A,90
PSYCH5067_1 - Human Development PGT Conv,90
COMPSCI4014_1 - Interactive Systems (H),90
COMPSCI4009_1 - Algorithmics I (H),90
CHEM1002_1 - Science Fundamentals 1X,120
ENG2086_1 - Engineering Mathematics 2,120
ENG2081_1 - Mechanics of Structures 2A,120
ENG2085_1 - Fluid Mechanics 2,90
ENG5314_1 - Control Sys Analysis & Des M,90
ENG5082_1 - Space Flight Dynamics M,120
ENG5013_1 - Flight Dynamics M,120
ENG5091_1 - Physics of Fluids M,120
ENG5076_1 - Simulation of Aero Systems,120
ENG3046_1 - Structural Design 3,120
ENG3086_1 - Transport Engineering 3,120
ENG3037_1 - Mechanics of Solids 3,120
ENG3085_1 - Hydraulic Engineering 3,120
ASTRO1001_1 - Astronomy 1,60
LAW1028_1 - (CL) System and Method,90
LAW1026_1 - Criminal Law Englnd&Wales (CL),120
LAW1027_1 - (CL) Law of Contract,120
ENG2045_1 - Power Electronics 2,120
ENG2023_1 - Electrical Circuits 2,120
