,0,1,2,3,4,5,6,7,8,9
0,AA2016E1,14,True,Joseph Black C407 (no lift),90,1346.0,5,20,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
1,AA3008E1,8,True,John McIntyre Rm 208,180,538.0,3,31,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
2,AAA011E1,26,True,Gilbert Scott Conf Suite Rm 251,90,840.0,4,14,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
3,AAA013E1,2,True,WILTF,120,1440.0,5,55,60,"[True, True, False, True, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
4,AAA022E1,19,True,Gilbert Scott Conf Suite Rm 355 (no lift),90,508.0,3,28,30,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
5,AAA024E1,10,True,Rankine 601,90,994.0,4,31,37,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,AAA033E1,9,True,Gilbert Scott Conf Suite Rm 251,90,390.0,3,12,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
7,AAA034E1,24,True,St Andrews Rm 237,90,960.0,4,26,30,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
8,AAB025E1,4,True,John McIntyre Rm 208,180,64.0,1,15,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
9,AAB058E1,27,True,St Andrews Rm 227 ,60,760.0,4,7,50,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True]"
10,B11101E1,17,True,John McIntyre Rm 208,180,502.0,3,27,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
11,B11102E1,26,True,Hunter East,120,1518.0,5,110,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
12,B12301E1,26,True,Joseph Black C407 (no lift),120,872.0,4,16,25,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
13,B12302E1,11,True,Adam Smith 915,120,870.0,4,16,26,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
14,B12303E1,2,True,Kelvin Blg Rm 323/324,120,868.0,4,16,50,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
15,B12320E1,17,True,Gilbert Scott Conf Suite Rm 250,120,758.0,4,6,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
16,B31101E1,2,True,Hunter East,120,688.0,3,107,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
17,B31105E1,16,True,OTC,60,684.0,3,107,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, True]"
18,B31107E1,26,True,St Andrews Gym Hall,120,690.0,3,108,110,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
19,B32321E1,3,True,Hunter West,60,1230.0,4,119,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
20,B32322E1,15,True,Hunter East,60,1208.0,4,110,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
21,B32325E1,5,True,Kelvin Gallery,120,1214.0,4,110,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
22,B32326E1,24,True,Hunter East,60,1206.0,4,110,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, False, True, True, True]"
23,B33541E1,8,True,John McIntyre Rm 201,60,1170.0,4,93,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
24,B33544E1,18,True,John McIntyre Rm 201,60,1168.0,4,93,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
25,B33545E1,14,True,John McIntyre Rm 201,120,1174.0,4,93,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
26,B33548E1,24,True,John McIntyre Rm 201,60,1166.0,4,93,100,"[True, True, True, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
27,B33549E1,2,True,Kelvin Hall,120,1172.0,4,93,500,"[True, True, False, True, False, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
28,B33563E1,27,True,Adam Smith 915,60,1342.0,5,18,26,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True]"
29,C11101E1,25,True,Bute,120,286.0,2,145,230,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
30,C11105E1,2,True,Hunter West,120,288.0,2,163,195,"[True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
31,C12321E1,10,True,James Watt Design Studio B,120,654.0,3,68,69,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True]"
32,C12324E1,2,True,Senate,120,634.0,3,63,80,"[True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
33,C12325E1,10,True,Fore,90,626.0,3,62,64,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True]"
34,C12327E1,20,True,Sir Charles Wilson,120,1086.0,4,58,60,"[True, True, False, True, False, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
35,C12328E1,26,True,Gilbert Scott Conf Suite Rm 250,90,998.0,4,32,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
36,C12329E1,27,True,Gilbert Scott Conf Suite Rm 251,90,808.0,4,11,15,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
37,C12331E1,11,True,Gilbert Scott Conf Suite Rm 253,90,838.0,4,14,40,"[True, True, True, True, True, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
38,C12332E1,17,True,Kelvin Blg Rm 323/324,180,602.0,3,48,50,"[True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
39,C12333E1,27,True,Rankine 629,90,850.0,4,15,53,"[True, True, True, True, False, False, True, True, True, True, True, False, True, True, False, True, True, False, True, True, True, True, True, True, True, True, True]"
40,C12338E1,13,True,WILTF,120,1080.0,4,57,60,"[True, True, False, True, False, False, True, True, True, True, True, False, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True]"
41,C13562E1,1,True,John McIntyre Rm 208,180,86.0,1,33,40,"[True, True, True, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, False, True, True, True]"
