,Exam,Slot,roomAssigned,Room,Duration(mins),Priority Val,Conflicts,numStudents,Hall Capacity,Hall Status
0,AA2016E1,0,TRUE,Kelvin Hall,90,1346,5,20,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
1,AA3008E1,0,TRUE,Bute,180,538,3,31,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
2,AAA011E1,0,TRUE,Kelvin Hall,90,840,4,14,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
3,AAA013E1,0,TRUE,Kelvin Hall,120,1440,5,55,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
4,AAA022E1,0,TRUE,Kelvin Hall,90,508,3,28,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
5,AAA024E1,0,TRUE,Kelvin Hall,90,994,4,31,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
6,AAA033E1,0,TRUE,Kelvin Hall,90,390,3,12,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
7,AAA034E1,0,TRUE,Kelvin Hall,90,960,4,26,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
8,AAB025E1,0,TRUE,Kelvin Hall,180,64,1,15,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
9,AAB058E1,0,TRUE,Kelvin Hall,60,760,4,7,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
10,B11101E1,0,TRUE,Kelvin Hall,180,502,3,27,500,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
11,B11102E1,0,TRUE,Bute,120,1518,5,110,230,"[True, True, True, True, True, True, True, True, True, True, True, True, False, True, True, True, True, True, True, True, True, True, True, True, True, True, True]"
