,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity,special_requirement
0,AA2016E1,6,Thursday,Evening,01:30,20,['Kelvin Hall'],[500],False
1,AA3008E1,22,Thursday,Morning,03:00,31,['Senate'],[80],False
2,AAA011E1,24,Thursday,Evening,01:30,14,['Bute'],[230],False
3,AAA013E1,11,Saturday,Afternoon,02:00,55,"['OTC', 'St Andrews Gym Hall']","[110, 110]",False
4,AAA022E1,24,Thursday,Evening,01:30,28,['St Andrews Rm 237'],[30],False
5,AAA024E1,6,Thursday,Evening,01:30,31,['OTC'],[110],False
6,AAA033E1,18,Tuesday,Evening,01:30,12,['Randolph'],[85],False
7,AAA034E1,9,Friday,Evening,01:30,26,['Kelvin Hall'],[500],False
8,AAB025E1,25,Friday,Morning,03:00,15,"['Sir Charles Wilson', 'Kelvin Hall']","[60, 500]",False
9,AAB058E1,19,Wednesday,Morning,01:00,7,['59 Oakfield Ave Rm 302 (no lift)'],[10],False
10,B11101E1,25,Friday,Morning,03:00,27,['Gilbert Scott Conf Suite Rm 253'],[40],False
11,B11102E1,4,Thursday,Morning,02:00,110,['OTC'],[110],False
12,B12301E1,20,Wednesday,Afternoon,02:00,16,['Kelvin Gallery'],[230],False
13,B12302E1,7,Friday,Morning,02:00,16,['Kelvin Blg Rm 220'],[50],False
14,B12303E1,10,Saturday,Morning,02:00,16,['Randolph'],[85],False
15,B12320E1,26,Friday,Afternoon,02:00,6,['Kelvin Blg Rm 220'],[50],False
16,B13103E1,13,Monday,Morning,02:00,8,['Kelvin Blg Rm 220'],[50],False
17,B31101E1,16,Tuesday,Morning,02:00,107,['Kelvin Hall'],[500],False
18,B31103E1,19,Wednesday,Morning,02:00,107,['Kelvin Hall'],[500],False
19,B31105E1,6,Thursday,Evening,01:00,107,"['OTC', 'Bute']","[110, 230]",False
20,B31107E1,2,Wednesday,Afternoon,02:00,108,['Kelvin Hall'],[500],False
21,B32321E1,18,Tuesday,Evening,01:00,119,['Bute'],[230],False
22,B32322E1,15,Monday,Evening,01:00,110,"['St Andrews Gym Hall', 'Hunter East']","[110, 195]",False
23,B32325E1,2,Wednesday,Afternoon,02:00,110,['Hunter West'],[195],False
24,B32326E1,9,Friday,Evening,01:00,110,['St Andrews Gym Hall'],[110],False
25,B32327E1,23,Thursday,Afternoon,02:00,110,['Kelvin Hall'],[500],False
26,B33541E1,9,Friday,Evening,01:00,93,['Hunter East'],[195],False
27,B33544E1,3,Wednesday,Evening,01:00,93,"['Bute', 'John McIntyre Rm 201']","[230, 100]",False
28,B33545E1,16,Tuesday,Morning,02:00,93,['OTC'],[110],False
29,B33548E1,21,Wednesday,Evening,01:00,93,['Kelvin Hall'],[500],False
30,B33549E1,25,Friday,Morning,02:00,93,['Kelvin Hall'],[500],False
31,B33563E1,6,Thursday,Evening,01:00,18,['Bute'],[230],False
32,C11101E1,1,Wednesday,Morning,02:00,145,['Kelvin Hall'],[500],False
33,C11105E1,22,Thursday,Morning,02:00,163,['Kelvin Hall'],[500],False
34,C12321E1,23,Thursday,Afternoon,02:00,68,['Kelvin Gallery'],[230],False
35,C12324E1,10,Saturday,Morning,02:00,63,['Kelvin Gallery'],[230],False
36,C12325E1,15,Monday,Evening,01:30,62,['Bute'],[230],False
37,C12327E1,20,Wednesday,Afternoon,02:00,58,"['Randolph', 'OTC']","[85, 110]",False
38,C12328E1,3,Wednesday,Evening,01:30,32,['Kelvin Hall'],[500],False
39,C12329E1,6,Thursday,Evening,01:30,11,['WILTF'],[60],False
40,C12331E1,18,Tuesday,Evening,01:30,14,['Rankine 629'],[53],False
41,C12332E1,13,Monday,Morning,03:00,48,"['St Andrews Gym Hall', 'Senate']","[110, 80]",False
42,C12333E1,24,Thursday,Evening,01:30,15,['Rankine 629'],[53],False
43,C12338E1,25,Friday,Morning,02:00,57,['Kelvin Hall'],[500],False
44,C13562E1,17,Tuesday,Afternoon,03:00,33,"['Rankine 601', 'St Andrews Rm 234']","[37, 40]",False
45,C13563E1,2,Wednesday,Afternoon,03:00,7,['Kelvin Blg Rm 220'],[50],False
46,C13564E1,22,Thursday,Morning,03:00,39,['Rankine 629'],[53],False
47,C13565E1,17,Tuesday,Afternoon,03:00,19,['Joseph Black A504'],[25],False
48,C13567E1,17,Tuesday,Afternoon,03:00,17,['Hunter East'],[195],False
49,C13569E1,26,Friday,Afternoon,03:00,19,"['Gilbert Scott Conf Suite Rm 355 (no lift)', 'St Andrews Gym Hall']","[30, 110]",False
50,C13571E1,21,Wednesday,Evening,01:30,8,['Sir Charles Wilson'],[60],False
51,C13572E1,27,Friday,Evening,01:30,7,['Gilbert Scott Conf Suite Rm 356'],[40],False
52,C13573E1,14,Monday,Afternoon,03:00,20,['Hunter East'],[195],False
53,C1P001E1,4,Thursday,Morning,02:00,6,['Hunter East'],[195],False
54,C41101E1,11,Saturday,Afternoon,02:00,102,['Hunter West'],[195],False
55,C42304E1,7,Friday,Morning,02:00,63,"['Senate', 'James Watt Design Studio B']","[80, 69]",False
56,C42306E1,26,Friday,Afternoon,02:00,62,['Bute'],[230],False
57,C42307E1,1,Wednesday,Morning,02:00,37,"['Kelvin Blg Rm 323/324', 'St Andrews Rm 234']","[50, 40]",False
58,C43511E1,4,Thursday,Morning,03:00,38,['Kelvin Hall'],[500],False
59,C43512E1,25,Friday,Morning,03:00,24,['Hunter East'],[195],False
60,C52303E1,2,Wednesday,Afternoon,02:00,12,['Kelvin Hall'],[500],False
