,student_code,exam_code,slot_index,day,type,duration,total_students,rooms,rooms_capacity
0,A890186790,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
1,A890186790,R13006E1,8,Friday,Afternoon,02:00,12,['Senate'],[80]
2,A890186790,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
3,A890186790,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
4,A890186790,R13022E1,20,Wednesday,Afternoon,01:30,19,"['St Andrews Gym Hall', 'Kelvin Hall']","[110, 500]"
5,A891097581,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
6,A891097581,R23107E1,20,Wednesday,Afternoon,01:30,12,['Fore'],[64]
7,A891097581,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
8,A891097581,R23117E1,1,Wednesday,Morning,01:30,24,['St Andrews Rm 234'],[40]
9,A891097581,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
10,A892884191,Q4B102E1,8,Friday,Afternoon,03:00,22,"['OTC', 'John McIntyre Rm 201']","[110, 100]"
11,A892884227,AA3008E1,14,Monday,Afternoon,03:00,31,['John McIntyre Rm 208'],[40]
12,A892884294,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
13,A892884294,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
14,A892884308,Q3A308E1,11,Saturday,Afternoon,03:00,26,['St Andrews Gym Hall'],[110]
15,A892884308,V62200E1,18,Tuesday,Evening,01:30,37,['Kelvin Blg Rm 220'],[50]
16,A892884319,V73128E1,1,Wednesday,Morning,01:30,16,['OTC'],[110]
17,A892884331,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
18,A892884331,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
19,A892956502,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
20,A892956502,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
21,A892956513,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
22,A892956513,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
23,A892992407,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
24,A892992407,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
25,A892992496,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
26,A892992496,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
27,A903428732,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
28,A903428732,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
29,A903428732,R13012E1,7,Friday,Morning,01:30,26,['Bute'],[230]
30,A903428732,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
31,A903549679,V73127E1,23,Thursday,Afternoon,03:00,15,['Joseph Black A504'],[25]
32,A903549679,V73128E1,1,Wednesday,Morning,01:30,16,['OTC'],[110]
33,A903549679,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
34,A903549679,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
35,A904679991,Q83184E1,1,Wednesday,Morning,02:00,11,['OTC'],[110]
36,A904679991,Q8B075E1,22,Thursday,Morning,02:00,5,['Kelvin Hall'],[500]
37,A904679991,Q8B094E1,13,Monday,Morning,02:00,42,['Fore'],[64]
38,A905851394,AA3008E1,14,Monday,Afternoon,03:00,31,['John McIntyre Rm 208'],[40]
39,A905851394,Q4B104E1,1,Wednesday,Morning,02:00,14,['Rankine 601'],[37]
40,A905851408,V13119E1,2,Wednesday,Afternoon,02:00,20,['Gilbert Scott Conf Suite Rm 250'],[40]
41,A905947273,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
42,A905947273,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
43,A905947310,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
44,A905947446,R13009E1,23,Thursday,Afternoon,01:30,6,['Gilbert Scott Conf Suite Rm 356'],[40]
45,A905947446,R23102E1,11,Saturday,Afternoon,02:00,18,['Sir Charles Wilson'],[60]
46,A905947446,R23107E1,20,Wednesday,Afternoon,01:30,12,['Fore'],[64]
47,A905947446,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
48,A905947446,R23209E1,4,Thursday,Morning,01:30,17,['Adam Smith 915'],[26]
49,A905947480,V72AINE1,13,Monday,Morning,01:30,33,['OTC'],[110]
50,A905947480,V73232E1,20,Wednesday,Afternoon,03:00,29,['Rankine 601'],[37]
51,A905947480,V73MD1E1,18,Tuesday,Evening,01:30,29,"['Hunter East', 'WILTF', 'St Andrews Rm 234']","[195, 60, 40]"
52,A913122273,R23104E1,11,Saturday,Afternoon,02:00,32,['St Andrews Rm 234'],[40]
53,A913122273,R23107E1,20,Wednesday,Afternoon,01:30,12,['Fore'],[64]
54,A913122273,R23111E1,15,Monday,Evening,01:30,22,['Gilbert Scott Conf Suite Rm 253'],[40]
55,A913122273,V83123E1,6,Thursday,Evening,01:30,20,['Hunter East'],[195]
56,A913122273,V83138E1,26,Friday,Afternoon,01:30,11,"['St Andrews Rm 237', 'Kelvin Hall']","[30, 500]"
57,A913203745,R13001E1,11,Saturday,Afternoon,01:30,36,"['John McIntyre Rm 208', 'Senate']","[40, 80]"
58,A913203745,R13016E1,14,Monday,Afternoon,02:00,19,['Kelvin Hall'],[500]
59,A913203745,R13021E1,24,Thursday,Evening,01:30,26,['Kelvin Hall'],[500]
60,A913203745,R13023E1,18,Tuesday,Evening,01:30,14,['Adam Smith 915'],[26]
61,A913232907,R13003E1,4,Thursday,Morning,01:30,28,['Kelvin Gallery'],[230]
