,0,1,2,3,4,5,6
0,A890186790,R13001E1,30,Saturday,Evening,01:30,36
1,A890186790,R13006E1,31,Monday,Morning,02:00,12
2,A890186790,R13016E1,5,Thursday,Afternoon,02:00,19
3,A890186790,R13021E1,16,Tuesday,Morning,01:30,26
4,A890186790,R13022E1,9,Friday,Evening,01:30,19
5,A891097581,R23102E1,11,Saturday,Afternoon,02:00,18
6,A891097581,R23107E1,7,Friday,Morning,01:30,12
7,A891097581,R23111E1,31,Monday,Morning,01:30,22
8,A891097581,R23117E1,24,Thursday,Evening,01:30,24
9,A891097581,R23209E1,18,Tuesday,Evening,01:30,17
10,A892884191,Q4B102E1,25,Friday,Morning,03:00,22
11,A892884227,AA3008E1,4,Thursday,Morning,03:00,31
12,A892884294,V73232E1,25,Friday,Morning,03:00,29
13,A892884294,V73MD1E1,9,Friday,Evening,01:30,29
14,A892884308,Q3A308E1,16,Tuesday,Morning,03:00,26
15,A892884308,V62200E1,34,Tuesday,Morning,01:30,37
16,A892884319,V73128E1,28,Saturday,Morning,01:30,16
17,A892884331,V73232E1,25,Friday,Morning,03:00,29
18,A892884331,V73MD1E1,9,Friday,Evening,01:30,29
19,A892956502,V73232E1,25,Friday,Morning,03:00,29
20,A892956502,V73MD1E1,9,Friday,Evening,01:30,29
21,A892956513,V73232E1,25,Friday,Morning,03:00,29
22,A892956513,V73MD1E1,9,Friday,Evening,01:30,29
23,A892992407,V73232E1,25,Friday,Morning,03:00,29
24,A892992407,V73MD1E1,9,Friday,Evening,01:30,29
25,A892992496,V73232E1,25,Friday,Morning,03:00,29
26,A892992496,V73MD1E1,9,Friday,Evening,01:30,29
27,A903428732,R13001E1,30,Saturday,Evening,01:30,36
28,A903428732,R13003E1,17,Tuesday,Afternoon,01:30,28
29,A903428732,R13012E1,3,Wednesday,Evening,01:30,26
30,A903428732,R13021E1,16,Tuesday,Morning,01:30,26
31,A903549679,V73127E1,26,Friday,Afternoon,03:00,15
32,A903549679,V73128E1,28,Saturday,Morning,01:30,16
33,A903549679,V73232E1,25,Friday,Morning,03:00,29
34,A903549679,V73MD1E1,9,Friday,Evening,01:30,29
35,A904679991,Q83184E1,23,Thursday,Afternoon,02:00,11
36,A904679991,Q8B075E1,34,Tuesday,Morning,02:00,5
37,A904679991,Q8B094E1,16,Tuesday,Morning,02:00,42
38,A905851394,AA3008E1,4,Thursday,Morning,03:00,31
