student_code,course_code,disability
A890186790,R100,FALSE
A891097581,R200,FALSE
A892884191,Q400,FALSE
A892884227,Q400,FALSE
A892884294,V700,FALSE
A892884308,V600,FALSE
A892884319,V700,FALSE
A892884331,V700,FALSE
A892956502,V700,FALSE
A892956513,V700,FALSE
A892992407,V700,FALSE
A892992496,V700,FALSE
A903428732,R100,FALSE
A903549679,V700,FALSE
A904679991,V110,FALSE
A905851394,Q400,FALSE
A905851408,V100,FALSE
A905947273,V700,FALSE
A905947310,V700,FALSE
A905947446,R200,FALSE
A905947480,V700,FALSE
A913122273,RV28,FALSE
A913203745,R100,FALSE
A913232907,RR14,FALSE
A913354634,RR14,FALSE
A913356122,R200,FALSE
A913360369,RR12,FALSE
A913455344,RR1K,FALSE
A913498824,R100,FALSE
A913543076,R100,FALSE
A913564392,RR14,FALSE
A913568149,V110,FALSE
A913569009,RR1V,FALSE
A913759105,RR1V,FALSE
A913765265,RR18,FALSE
A913841215,R100,FALSE
A914123099,V100,FALSE
A914247096,R200,FALSE
A914329185,RR14,FALSE
A914581118,R400,FALSE
A914722179,R810,FALSE
A914812735,R200,FALSE
A915104002,RR84,FALSE
A916010131,R100,FALSE
A916010429,RR1V,FALSE
A916035916,R810,FALSE
A916037161,RR1V,FALSE
A916037437,RR12,FALSE
A916045878,RR12,FALSE
A916048581,R200,FALSE
A916055394,RR14,FALSE
A916064813,R200,FALSE
A916075004,R100,FALSE
A916084626,RR14,FALSE
A916085999,R100,FALSE
A916094360,RR14,FALSE
A916124911,R100,FALSE
A916129891,RR18,FALSE
A916131997,T206,FALSE
A916148641,RR12,FALSE
A916153531,RR1K,FALSE
A916154413,RV21,FALSE
A916163264,RR12,FALSE
A916183837,RR14,FALSE
A916192666,RR14,FALSE
A916193113,RV11,FALSE
A916194408,V600,FALSE
A916206620,Q300,FALSE
A916214865,RV14,FALSE
A916215183,R200,FALSE
A916215529,RR12,FALSE
A916228127,RR14,FALSE
A916229157,V600,FALSE
A916233707,RQ11,FALSE
A916239983,Q820,FALSE
A916240440,R100,FALSE
A916242916,R100,FALSE
A916243843,RM21,FALSE
A916248103,RR12,FALSE
A916248561,Q400,FALSE
A916259899,RR14,FALSE
A916269681,RR12,FALSE
A916282325,Q300,FALSE
A916283322,RR14,FALSE
A916288062,RR14,FALSE
A916289955,RR2V,FALSE
A916307019,RR12,FALSE
A916307064,RR1V,FALSE
A916322595,V110,FALSE
A916347358,R100,FALSE
A916350990,R810,FALSE
A916355962,RV21,FALSE
A916360450,RR12,FALSE
A916360999,RR12,FALSE
A916367183,RV11,FALSE
A916374583,RR18,FALSE
A916379968,R810,FALSE
A916400491,T206,FALSE
A916401627,RR14,FALSE
A916408567,R812,FALSE
A916423663,RR12,FALSE
A916439398,RR2K,FALSE
A916456797,R100,FALSE
A916463533,RR14,FALSE
A916482176,R100,FALSE
A916486037,R100,FALSE
A916487883,VR18,FALSE
A916497309,R100,FALSE
A916501961,R100,FALSE
A916502555,RR18,FALSE
A916506298,RR12,FALSE
A916508281,T206,FALSE
A916526171,RR1K,FALSE
A916536103,R100,FALSE
A916540454,R810,FALSE
A916544681,RR18,FALSE
A916546733,R100,FALSE
A916550132,R200,FALSE
A916554783,R200,FALSE
A916569813,R200,FALSE
A916573083,R812,FALSE
A916585503,R812,FALSE
A916594228,Q300,FALSE
A916625935,R100,FALSE
A916631648,R100,FALSE
A916647041,T206,FALSE
A916676063,RR1V,FALSE
A916708618,R400,FALSE
A916711227,R100,FALSE
A916711401,RR14,FALSE
A916716510,RR12,FALSE
A916722625,R400,FALSE
A916761440,RR14,FALSE
A916773650,R8T1,FALSE
A916840653,RV24,FALSE
A916858957,QR12,FALSE
A916863641,R100,FALSE
A916866114,R812,FALSE
A916888998,R100,FALSE
A916909123,R200,FALSE
A916913843,RR14,FALSE
A916918653,R200,FALSE
A916922557,R8T1,FALSE
A916937322,RR12,FALSE
A916937595,R812,FALSE
A916942083,RR12,FALSE
A917028173,RR2V,FALSE
A917032538,RR1K,FALSE
A917053795,R200,FALSE
A917109357,RR12,FALSE
A917117525,R812,FALSE
A917151448,R100,FALSE
A917159053,RR1K,FALSE
A917211856,RR1K,FALSE
A917223860,R100,FALSE
A917224236,R810,FALSE
A917288076,RV24,FALSE
A917372766,R100,FALSE
A917381713,V100,FALSE
A917392878,R8TF,FALSE
A917422212,R100,FALSE
A917433425,RV21,FALSE
A917455542,R810,FALSE
A917471896,R100,FALSE
A917506165,V400,FALSE
A917521087,R810,FALSE
A917584967,QQ34,FALSE
A917616590,R100,FALSE
A917642511,V117,FALSE
A917868904,Q400,FALSE
A917887879,Q300,FALSE
A917914164,RT8C,FALSE
A917914382,Q400,FALSE
A917985647,R200,FALSE
A918241535,V110,FALSE
A918290946,R200,FALSE
A918762351,V100,FALSE
A918765352,Q400,FALSE
A918765422,V400,FALSE
A918765444,V600,FALSE
A918765477,V600,FALSE
A918765503,V110,FALSE
A918765525,R200,FALSE
A918765536,V700,FALSE
A918765754,R810,FALSE
A918765765,R100,FALSE
A918871572,V700,FALSE
A920012156,V100,FALSE
A920016202,V100,FALSE
A920018686,Q300,FALSE
A920022443,V100,FALSE
A920022535,V600,FALSE
A920033564,V100,FALSE
A920057386,V100,FALSE
A920057504,Q802,FALSE
A920059047,Q300,FALSE
A920061866,V100,FALSE
A920064960,VVC6,FALSE
A920069644,Q300,FALSE
A920074626,V100,FALSE
A920075243,V100,FALSE
A920076550,V700,FALSE
A920077650,Q400,FALSE
A920078381,V100,FALSE
A920083721,V100,FALSE
A920086607,V600,FALSE
A920087718,V800,FALSE
A920091276,V100,FALSE
A920095207,V100,FALSE
A920095562,V110,FALSE
A920096455,V100,FALSE
A920097599,Q300,FALSE
A920099711,V100,FALSE
A920103683,R100,FALSE
A920117680,Q300,FALSE
A920118034,Q300,FALSE
A920120071,VM11,FALSE
A920120303,QV36,FALSE
A920121241,V100,FALSE
A920131022,Q802,FALSE
A920131837,V100,FALSE
A920140208,V600,FALSE
A920140976,V100,FALSE
A920141582,Q300,FALSE
A920146118,Q400,FALSE
A920147148,Q300,FALSE
A920148846,V117,FALSE
A920149544,VM11,FALSE
A920149614,V110,FALSE
A920155154,R100,FALSE
A920157996,Q300,FALSE
A920161753,Q400,FALSE
A920163470,V100,FALSE
A920165739,V100,FALSE
A920184637,Q300,FALSE
A920187258,V100,FALSE
A920188015,Q400,FALSE
A920198634,V600,FALSE
A920200351,V100,FALSE
A920209608,V100,FALSE
A920213074,V117,FALSE
A920213513,QV38,FALSE
A920214509,Q300,FALSE
A920216879,W300,FALSE
A920218208,Q300,FALSE
A920219364,Q300,FALSE
A920221426,V700,FALSE
A920222032,QVV6,FALSE
A920222560,QV47,FALSE
A920232880,V400,FALSE
A920236017,V700,FALSE
A920237922,Q300,FALSE
A920251836,V800,FALSE
A920257827,Q300,FALSE
A920260517,V100,FALSE
A920270413,V100,FALSE
A920272495,QQ34,FALSE
A920274215,RR18,FALSE
A920276633,V117,FALSE
A920281235,Q300,FALSE
A920282874,V100,FALSE
A920284409,Q300,FALSE
A920292334,Q300,FALSE
A920292770,Q300,FALSE
A920299861,V100,FALSE
A920300167,VVC6,FALSE
A920304110,QQ34,FALSE
A920309698,Y320,FALSE
A920314898,Q300,FALSE
A920315910,Q300,FALSE
A920316559,Q400,FALSE
A920319295,Q300,FALSE
A920320659,W300,FALSE
A920323395,V100,FALSE
A920324059,V700,FALSE
A920331781,V100,FALSE
A920335158,V600,FALSE
A920335918,V100,FALSE
A920336041,V100,FALSE
A920337989,V100,FALSE
A920339547,V100,FALSE
A920340015,V100,FALSE
A920340635,V100,FALSE
A920340680,V600,FALSE
A920343382,V100,FALSE
A920353923,V110,FALSE
A920354171,Q400,FALSE
A920359763,W300,FALSE
A920363999,Q300,FALSE
A920371525,V100,FALSE
A920372669,V100,FALSE
A920375361,V100,FALSE
A920381580,Q300,FALSE
A920383919,Q300,FALSE
A920393907,Q300,FALSE
A920396285,R200,FALSE
A920398533,V100,FALSE
A920398544,V100,FALSE
A920399378,Q820,FALSE
A920406034,V800,FALSE
A920412644,Q300,FALSE
A920420764,Q400,FALSE
A920422849,V700,FALSE
A920434015,Q300,FALSE
A920434417,V100,FALSE
A920435492,V600,FALSE
A920456143,V100,FALSE
A920465031,V800,FALSE
A920467518,Q400,FALSE
A920475708,V800,FALSE
A920486900,V100,FALSE
A920497652,QVV6,FALSE
A920497799,VV78,FALSE
A920498637,V110,FALSE
A920499807,V100,FALSE
A920509472,R812,FALSE
A920510065,V600,FALSE
A920520097,V800,FALSE
A920521256,V400,FALSE
A920523490,Q300,FALSE
A920526583,Q400,FALSE
A920528026,V400,FALSE
A920532780,V100,FALSE
A920534898,QV38,FALSE
A920554128,V800,FALSE
A920570531,V700,FALSE
A920574816,V600,FALSE
A920582855,V110,FALSE
A920590045,Q300,FALSE
A920609325,V110,FALSE
A920609749,V100,FALSE
A920622704,V100,FALSE
A920626517,QQ83,FALSE
A920641200,VM11,FALSE
A920648221,QQ34,FALSE
A920658046,V100,FALSE
A920658600,V100,FALSE
A920687828,V100,FALSE
A920705524,Q300,FALSE
A920722244,V110,FALSE
A920743010,Q300,FALSE
A920750122,V800,FALSE
A920760280,Q400,FALSE
A920763373,W300,FALSE
A920767773,V100,FALSE
A920789454,QQ34,FALSE
A920818112,Q820,FALSE
A920828498,QQ34,FALSE
A920843561,Q300,FALSE
A920843664,Q400,FALSE
A920849253,Q400,FALSE
A920861923,V110,FALSE
A920872608,V100,FALSE
A920875045,V600,FALSE
A920893175,QV37,FALSE
A920896648,Q400,FALSE
A920906615,V600,FALSE
A920911815,V110,FALSE
A920917943,V100,FALSE
A920921630,V110,FALSE
A920922648,V100,FALSE
A920925373,V800,FALSE
A920926901,VVC6,FALSE
A920940479,V110,FALSE
A920942819,Q300,FALSE
A920964154,V100,FALSE
A920972827,Q300,FALSE
A920986891,V800,FALSE
A920998263,V800,FALSE
A921023915,VVC6,FALSE
A921040392,V700,FALSE
A921040565,V400,FALSE
A921041285,QQ83,FALSE
A921043935,Q400,FALSE
A921049340,Q300,FALSE
A921055374,V400,FALSE
A921057910,V400,FALSE
A921066174,LV86,FALSE
A921123547,V600,FALSE
A921137234,Q300,FALSE
A921147200,VV78,FALSE
A921161848,V100,FALSE
A921222231,V110,FALSE
A921223593,V800,FALSE
A921225829,V100,FALSE
A921235231,Q400,FALSE
A921237648,Q400,FALSE
A921240578,V800,FALSE
A921241999,V700,FALSE
A921262570,V600,FALSE
A921273509,V100,FALSE
A921277460,VVC6,FALSE
A921285649,Q400,FALSE
A921289681,VM11,FALSE
A921291673,V100,FALSE
A921292717,V110,FALSE
A921320353,Q400,FALSE
A921323893,QQ83,FALSE
A921352022,R100,FALSE
A921360717,VV78,FALSE
A921373647,Q400,FALSE
A921381114,QQ34,FALSE
A921388641,Q300,FALSE
A921430124,Q300,FALSE
A921447993,V800,FALSE
A921509464,V110,FALSE
A921550330,V110,FALSE
A921610896,VVC6,FALSE
A921654292,V700,FALSE
A921678313,W300,FALSE
A921771441,V100,FALSE
A921779517,Q300,FALSE
A921833174,Q400,FALSE
A921834241,V600,FALSE
A921903307,Q300,FALSE
A921905965,Q300,FALSE
A921937036,R100,FALSE
A921939672,V400,FALSE
A921964205,Q300,FALSE
A921980777,V110,FALSE
A922070679,QV88,FALSE
A922088607,V700,FALSE
A922163661,V800,FALSE
A922170474,LV86,FALSE
A922238992,V700,FALSE
A922280865,Q400,FALSE
A922287749,V700,FALSE
A922361795,Q300,FALSE
A922364785,V600,FALSE
A922371369,V700,FALSE
A922373754,R100,FALSE
A922475852,V100,FALSE
A922534920,Q400,FALSE
A922574498,V110,FALSE
A922586114,V400,FALSE
A922683480,Q300,FALSE
A922701843,V600,FALSE
A922716700,V600,FALSE
A922808360,Q600,FALSE
A922886988,RM11,FALSE
A922898006,V700,FALSE
A922975857,V800,FALSE
A922981076,V400,FALSE
A922986288,V400,FALSE
A922991628,V400,FALSE
A922999129,V700,FALSE
A923013026,V400,FALSE
A923038074,V400,FALSE
A923171108,V110,FALSE
A923267928,VV16,FALSE
A923289193,V400,FALSE
A923393043,V600,FALSE
A923472430,Q400,FALSE
A923676038,V400,FALSE
A926127931,Q600,FALSE
A926163722,QVV6,FALSE
A926170454,V100,FALSE
A926177121,Q400,FALSE
A926194014,Q300,FALSE
A926273629,QV34,FALSE
A926277649,R100,FALSE
A926291542,Q300,FALSE
A926467099,Q400,FALSE
A926485277,Q300,FALSE
A926500938,V400,FALSE
A926633225,V100,FALSE
A926739848,V110,FALSE
A926823044,VVC6,FALSE
A926851128,QQ83,FALSE
A926876361,V110,FALSE
A926975930,QV87,FALSE
A927112631,V400,FALSE
A927120360,V100,FALSE
A927125642,V100,FALSE
A927174787,V400,FALSE
A927256898,Q400,FALSE
A927270403,VVC6,FALSE
A927642828,V400,FALSE
A928054127,V700,FALSE
A928203334,V800,FALSE
A928203345,V100,FALSE
A928203390,QQ34,FALSE
A928203415,V600,FALSE
A928203459,V700,FALSE
A928203460,V700,FALSE
A928204412,R200,FALSE
A928204423,R200,FALSE
A928204478,V700,FALSE
A928204489,QQ34,FALSE
A928208801,V806,FALSE
A928274068,Q300,FALSE
A928312027,RT81,FALSE
A928381263,QQ34,FALSE
A928381300,V600,FALSE
A928381311,V700,FALSE
A928381344,V600,FALSE
A930044523,RR12,FALSE
A930054991,T206,FALSE
A930065229,RV11,FALSE
A930085320,RR12,FALSE
A930107264,V400,FALSE
A930107987,Y661,FALSE
A930126025,RR1K,FALSE
A930126531,RR12,FALSE
A930162676,RR12,FALSE
A930245898,RR14,FALSE
A930275943,R100,FALSE
A930276744,R100,FALSE
A930303936,RR12,FALSE
A930346379,Q300,FALSE
A930384016,RR12,FALSE
A930386238,Q300,FALSE
A930402996,Q300,FALSE
A930431103,W300,FALSE
A930504647,Q820,FALSE
A930509619,RR18,FALSE
A930549305,W300,FALSE
A930551272,Q300,FALSE
A930690607,RT8C,FALSE
A930729996,W300,FALSE
A930743970,QV34,FALSE
A930762823,Q320,FALSE
A930763934,T206,FALSE
A930823331,RR2V,FALSE
A930952077,Q820,FALSE
A931032659,RR14,FALSE
A931033210,T206,FALSE
A931053447,Q820,FALSE
A931121997,RR14,FALSE
A931201509,QV87,FALSE
A931378731,V400,FALSE
A931382141,V110,FALSE
A931395004,V110,FALSE
A931416538,RV27,FALSE
A931502705,W300,FALSE
A931524888,V800,FALSE
A931552733,VVC6,FALSE
A931619690,Q820,FALSE
A931778551,R810,FALSE
A931781528,V600,FALSE
A931804654,QV36,FALSE
A931859447,V700,FALSE
A932465436,RV14,FALSE
A932714769,QV87,FALSE
A933743625,RR12,FALSE
A935007763,V100,FALSE
A935011070,V400,FALSE
A935011531,Q300,FALSE
A935016329,W300,FALSE
A935017924,V100,FALSE
A935020315,RR12,FALSE
A935026753,R100,FALSE
A935034530,VV78,FALSE
A935036291,V100,FALSE
A935039133,Q300,FALSE
A935039177,V100,FALSE
A935039214,VM11,FALSE
A935049039,Q300,FALSE
A935051076,R200,FALSE
A935059005,Y661,FALSE
A935063013,Y661,FALSE
A935064777,RR1K,FALSE
A935065280,Q300,FALSE
A935065291,Q300,FALSE
A935068111,V1R8,FALSE
A935068465,RR18,FALSE
A935074189,VVC6,FALSE
A935077700,W300,FALSE
A935081246,V100,FALSE
A935081534,RR12,FALSE
A935083620,T206,FALSE
A935084029,T206,FALSE
A935086595,V100,FALSE
A935087891,Q300,FALSE
A935095656,V100,FALSE
A935102297,V100,FALSE
A935108130,RR12,FALSE
A935108749,V100,FALSE
A935108912,R812,FALSE
A935109838,V100,FALSE
A935109942,Q300,FALSE
A935111587,V700,FALSE
A935114429,RV11,FALSE
A935115954,T206,FALSE
A935118586,R400,FALSE
A935129124,V100,FALSE
A935133006,V100,FALSE
A935137347,Q300,FALSE
A935139994,V400,FALSE
A935140417,Y661,FALSE
A935140576,V100,FALSE
A935142112,Q300,FALSE
A935142628,VVC6,FALSE
A935142798,V100,FALSE
A935143212,Q802,FALSE
A935147391,RR28,FALSE
A935149568,W300,FALSE
A935150335,QQ83,FALSE
A935150449,V800,FALSE
A935150450,Q300,FALSE
A935152199,QV38,FALSE
A935152638,Q300,FALSE
A935152982,V100,FALSE
A935160725,V100,FALSE
A935162408,V100,FALSE
A935163601,V100,FALSE
A935165225,RR14,FALSE
A935165775,Q300,FALSE
A935166679,RR14,FALSE
A935168787,RR2V,FALSE
A935169681,Q820,FALSE
A935178199,V100,FALSE
A935181362,Y661,FALSE
A935182680,RR12,FALSE
A935187331,V400,FALSE
A935192092,RR18,FALSE
A935193778,V100,FALSE
A935195358,V110,FALSE
A935196182,RR1V,FALSE
A935197972,W300,FALSE
A935207466,R100,FALSE
A935207499,VM11,FALSE
A935208289,V110,FALSE
A935213054,V100,FALSE
A935213353,QR81,FALSE
A935214202,RR1V,FALSE
A935214785,Q300,FALSE
A935215885,R810,FALSE
A935217100,VM11,FALSE
A935218967,RR12,FALSE
A935219791,T206,FALSE
A935221303,Q300,FALSE
A935221440,V700,FALSE
A935225921,W300,FALSE
A935228564,V800,FALSE
A935233982,Q300,FALSE
A935238105,R100,FALSE
A935242456,RR12,FALSE
A935246306,Q300,FALSE
A935249433,V100,FALSE
A935249558,Q300,FALSE
A935253599,V600,FALSE
A935254493,V700,FALSE
A935256741,V100,FALSE
A935260128,RR28,FALSE
A935260704,V100,FALSE
A935264506,Q300,FALSE
A935266692,V700,FALSE
A935278662,V100,FALSE
A935279991,Q300,FALSE
A935280159,RR12,FALSE
A935281880,RR18,FALSE
A935282913,Y661,FALSE
A935283404,Q300,FALSE
A935287114,V100,FALSE
A935288018,V100,FALSE
A935289967,Q802,FALSE
A935293931,Q300,FALSE
A935296529,V600,FALSE
A935297881,RR1V,FALSE
A935301834,VM11,FALSE
A935301971,R100,FALSE
A935307353,R100,FALSE
A935308316,R100,FALSE
A935312955,VV16,FALSE
A935314742,V110,FALSE
A935319035,W300,FALSE
A935320640,RR14,FALSE
A935321359,V100,FALSE
A935321681,RR2V,FALSE
A935322895,RR14,FALSE
A935323940,V110,FALSE
A935326332,RR1K,FALSE
A935327030,V100,FALSE
A935328532,V100,FALSE
A935328602,QV37,FALSE
A935330993,Q300,FALSE
A935331026,V700,FALSE
A935334407,Q300,FALSE
A935341069,Q300,FALSE
A935345757,RR1V,FALSE
A935347810,Y661,FALSE
A935350692,Q300,FALSE
A935358241,V100,FALSE
A935362695,R812,FALSE
A935364574,RV21,FALSE
A935365504,R100,FALSE
A935366187,Q300,FALSE
A935367977,V800,FALSE
A935371022,V100,FALSE
A935372177,T206,FALSE
A935373129,R100,FALSE
A935374573,R100,FALSE
A935380677,RR14,FALSE
A935385421,V100,FALSE
A935389717,V400,FALSE
A935390816,V100,FALSE
A935394032,RR1K,FALSE
A935396254,V117,FALSE
A935398041,V110,FALSE
A935407295,Q300,FALSE
A935416057,V100,FALSE
A935419494,VVC6,FALSE
A935422210,V400,FALSE
A935423963,V800,FALSE
A935424007,W300,FALSE
A935425978,W300,FALSE
A935435139,RT8C,FALSE
A935436620,V600,FALSE
A935438886,T206,FALSE
A935443167,V100,FALSE
A935443178,V100,FALSE
